Date,Open,High,Low,Close,Adj Close,Volume
3/19/2020,202.949997,219.75,198.149994,203.649994,203.649994,93533467
3/20/2020,205.550003,215.699997,200,209.850006,209.850006,77391650
3/23/2020,190,199.5,180.25,181.600006,181.600006,61750037
3/24/2020,190.949997,191.949997,173.550003,183.199997,183.199997,67491360
3/25/2020,178,195.25,176.449997,189.899994,189.899994,71567553
3/26/2020,191.550003,201,185.100006,192.75,192.75,107260359
3/27/2020,202,211.899994,195,195.949997,195.949997,114740377
3/30/2020,190,195,186.25,186.899994,186.899994,60081554
3/31/2020,192,198.5,188.050003,196.850006,196.850006,59543412
4/1/2020,194,194.5,185.25,186.550003,186.550003,52954239
4/3/2020,187.550003,188.199997,175,175.5,175.5,64448494
4/7/2020,184.399994,187.300003,177.600006,186.399994,186.399994,72130500
4/8/2020,182.899994,194.399994,180.449997,183,183,80435759
4/9/2020,188,190,183.600006,187.75,187.75,62416005
4/13/2020,186.800003,188.699997,183.100006,183.5,183.5,51847146
4/15/2020,187,191.949997,180.149994,182.350006,182.350006,72190004
4/16/2020,182,189.899994,180.25,188.5,188.5,61165773
4/17/2020,196,198,186.300003,193.25,193.25,89851063
4/20/2020,194,197.350006,190.050003,192.5,192.5,81958510
4/21/2020,188,188.199997,183,184.75,184.75,53042420
4/22/2020,185.5,189.5,181.350006,188.699997,188.699997,61503413
4/23/2020,187.75,189.899994,185.149994,186.699997,186.699997,50955312
4/24/2020,184,184,179,179.75,179.75,65137305
4/27/2020,183.5,183.5,180.5,180.899994,180.899994,42996571
4/28/2020,182,185.350006,181.199997,184.300003,184.300003,49590230
4/29/2020,185,191.800003,183.5,190.100006,190.100006,57470466
4/30/2020,193.5,195.899994,189.699997,190.5,190.5,63063889
5/4/2020,182.449997,183.5,178,178.850006,178.850006,58118177
5/5/2020,181,181.25,168.800003,170.399994,170.399994,91050439
5/6/2020,171.149994,173.300003,166.550003,171.100006,171.100006,73156432
5/7/2020,170.850006,172.550003,168.800003,170.75,170.75,42942399
5/8/2020,172.449997,173.800003,166.100006,166.649994,166.649994,55932236
5/11/2020,167.949997,168.899994,165,165.449997,165.449997,54591827
5/12/2020,164.199997,168.5,160.850006,166.899994,166.899994,70752542
5/13/2020,178.550003,178.550003,170.5,174.100006,174.100006,81720683
5/14/2020,170.949997,171.75,167.5,167.949997,167.949997,48136531
5/15/2020,167.949997,168.25,164.699997,166.399994,166.399994,35495540
5/18/2020,166.399994,166.399994,155,155.300003,155.300003,77349435
5/19/2020,157.5,157.850006,152.399994,152.800003,152.800003,71522334
5/20/2020,153,155.25,151.149994,153.399994,153.399994,66168767
5/21/2020,153.649994,156.149994,151.5,151.949997,151.949997,61147471
5/22/2020,152,155.600006,149.449997,150.850006,150.850006,87064198
5/26/2020,152.399994,153.199997,150.199997,151.399994,151.399994,48275988
5/27/2020,151.949997,160.800003,150.800003,158.600006,158.600006,88195120
5/28/2020,159.449997,162.399994,156.699997,158.199997,158.199997,76968678
5/29/2020,156.100006,161.899994,155.199997,161.300003,161.300003,58363280
6/1/2020,164,171.399994,163.350006,170.050003,170.050003,92740893
6/2/2020,169.899994,171.300003,167.199997,170.25,170.25,70419104
6/3/2020,172.5,179.899994,172,174.899994,174.899994,113168889
6/4/2020,174.899994,177.649994,171.5,174.050003,174.050003,83494674
6/5/2020,176.550003,189.800003,176,187.800003,187.800003,201321234
6/8/2020,197,197.5,185.800003,186.800003,186.800003,151741826
6/9/2020,187.699997,191,183.350006,184.449997,184.449997,96654191
6/10/2020,184.550003,189,183.800003,187.699997,187.699997,67333317
6/11/2020,188,190.399994,176.350006,177.149994,177.149994,91726802
6/12/2020,170,180,169.800003,179.149994,179.149994,92758901
6/15/2020,177.850006,177.850006,172,173.699997,173.699997,63613412
6/16/2020,178,178.949997,169.399994,172.899994,172.899994,63925976
6/17/2020,171,176.199997,169.25,172.949997,172.949997,73866905
6/18/2020,172.399994,180.649994,171.100006,179.649994,179.649994,58261857
6/19/2020,180.300003,184.949997,179.5,184.5,184.5,76895151
6/22/2020,185,191.75,184.25,187.699997,187.699997,80023958
6/23/2020,189.600006,193.100006,187.850006,192.449997,192.449997,65487085
6/24/2020,194.800003,194.899994,183.899994,184.600006,184.600006,74668987
6/25/2020,182.199997,186.800003,180.399994,185.25,185.25,73620385
6/26/2020,188,188.600006,183.800003,184.600006,184.600006,49176958
6/29/2020,183,183.100006,178.5,179.25,179.25,50966428
6/30/2020,181.100006,182.899994,177.25,178.449997,178.449997,43613239
7/1/2020,179.449997,185.399994,178.600006,184.800003,184.800003,54012853
7/2/2020,185.649994,188,184,185.449997,185.449997,52127276
7/3/2020,186.649994,186.850006,183.399994,184.699997,184.699997,38048810
7/6/2020,186.600006,189.850006,186.149994,188.050003,188.050003,43773740
7/7/2020,187,189.199997,184.050003,188.600006,188.600006,55124494
7/8/2020,188.899994,197.449997,188.399994,191.899994,191.899994,143063102
7/9/2020,192.800003,201,192.550003,199.100006,199.100006,89539723
7/10/2020,198,202.5,194.800003,195.600006,195.600006,111406477
7/13/2020,198.800003,199.800003,191.600006,192.699997,192.699997,61949761
7/14/2020,192.300003,192.300003,184.600006,186.050003,186.050003,62239932
7/15/2020,187.949997,189.949997,183,183.800003,183.800003,58527305
7/16/2020,185,186.949997,181.649994,186.25,186.25,46546803
7/17/2020,186.800003,189.5,185,188.199997,188.199997,47035238
7/20/2020,190,193.25,188.75,190.75,190.75,45672856
7/21/2020,192.449997,196.199997,191.5,194.399994,194.399994,59281860
7/22/2020,195.699997,196.75,190.100006,192,192,62276152
