0,1,2,3,4,5,6
2021-08-25T09:25:00+0530,283.2,283.2,215.65,218.3,0,25
2021-08-25T09:30:00+0530,218.3,218.3,207.85,207.85,1100,825
2021-08-25T09:35:00+0530,209.25,215.9,206.75,215.9,300,1300
2021-08-25T09:40:00+0530,215.9,216.2,183.15,183.15,100,1400
2021-08-25T09:45:00+0530,175,197.4,167.6,197.4,625,1425
2021-08-25T09:50:00+0530,194.5,194.5,187.75,189.1,275,1450
2021-08-25T09:55:00+0530,189.1,189.1,182.95,184.05,1200,2225
2021-08-25T10:00:00+0530,184.05,184.05,180.5,182.55,225,2325
2021-08-25T10:05:00+0530,180.9,190.6,180.9,185.05,225,2325
2021-08-25T10:10:00+0530,185.05,185.05,166.75,169.15,200,2500
2021-08-25T10:15:00+0530,168.35,172.7,162.05,163,300,2650
2021-08-25T10:20:00+0530,167,167,161.75,167,1550,3525
2021-08-25T10:25:00+0530,163.9,180,163.9,180,1175,4150
2021-08-25T10:30:00+0530,180,180,173.85,176.6,100,4150
2021-08-25T10:35:00+0530,176.6,180.25,174.5,174.5,450,4350
2021-08-25T10:40:00+0530,174.5,174.5,174.5,174.5,0,4350
2021-08-25T10:45:00+0530,174.5,174.5,167.5,170.4,800,4550
2021-08-25T10:50:00+0530,170.4,177.8,170.4,177.8,100,4900
2021-08-25T10:55:00+0530,177.8,177.8,173.8,176.85,75,4900
2021-08-25T11:00:00+0530,176.8,176.8,172.2,175.2,175,4950
2021-08-25T11:05:00+0530,175.2,175.2,170.9,171.7,225,5000
2021-08-25T11:10:00+0530,171.7,173.45,171.7,173.45,25,5025
2021-08-25T11:15:00+0530,173.45,173.45,173.2,173.2,50,5025
2021-08-25T11:20:00+0530,173.2,196.2,173.2,196.2,150,5075
2021-08-25T11:25:00+0530,196.2,206.85,196.2,203.9,275,5075
2021-08-25T11:30:00+0530,202.7,202.7,190,193.05,125,5025
2021-08-25T11:35:00+0530,193.05,193.3,167.3,169.05,200,5250
2021-08-25T11:40:00+0530,171.95,171.95,164.6,164.85,250,5350
2021-08-25T11:45:00+0530,164.85,172.85,163.75,170.4,450,5450
2021-08-25T11:50:00+0530,170.4,171.95,169.95,170.6,150,5375
2021-08-25T11:55:00+0530,170.6,170.6,170.6,170.6,150,5375
2021-08-25T12:00:00+0530,170.6,174.55,170.6,174.55,0,5475
2021-08-25T12:05:00+0530,174.55,176.7,173.5,173.5,75,5425
2021-08-25T12:10:00+0530,173.5,176.2,173.5,176.2,275,5400
2021-08-25T12:15:00+0530,176.2,176.2,174.2,174.2,25,5625
2021-08-25T12:20:00+0530,174.2,174.65,174.2,174.65,25,5525
2021-08-25T12:25:00+0530,174.65,188.85,174.65,180.95,200,5525
2021-08-25T12:30:00+0530,180.95,181.7,176.45,181.7,25,5550
2021-08-25T12:35:00+0530,181.7,181.7,181.7,181.7,50,5550
2021-08-25T12:40:00+0530,176.1,179,175.95,178.05,150,5525
2021-08-25T12:45:00+0530,178.3,178.6,174.25,178.25,200,5525
2021-08-25T12:50:00+0530,177.05,186.3,168.15,168.15,525,5525
2021-08-25T12:55:00+0530,168.15,168.15,168.15,168.15,0,5525
2021-08-25T13:00:00+0530,168.15,171.9,168.15,171.9,75,5600
2021-08-25T13:05:00+0530,172.85,176.35,172.85,176.35,50,5600
2021-08-25T13:10:00+0530,176.35,176.35,171.25,172.5,175,5550
2021-08-25T13:15:00+0530,175.85,175.9,171.65,173,150,5550
2021-08-25T13:20:00+0530,173,180.3,173,176.75,150,5500
2021-08-25T13:25:00+0530,176.6,184.3,176.6,184.3,100,5450
2021-08-25T13:30:00+0530,184.3,184.9,182.15,182.15,50,5475
2021-08-25T13:35:00+0530,182.15,185,177.9,177.9,75,5475
2021-08-25T13:40:00+0530,177.9,177.9,170.8,170.8,175,5475
2021-08-25T13:45:00+0530,170.8,181.55,170.8,181.55,25,5475
2021-08-25T13:50:00+0530,181.55,181.55,181.55,181.55,0,5475
2021-08-25T13:55:00+0530,181.55,181.55,181.55,181.55,0,5475
2021-08-25T14:00:00+0530,183.05,183.05,183.05,183.05,25,5475
2021-08-25T14:05:00+0530,183.05,183.05,183.05,183.05,0,5475
2021-08-25T14:10:00+0530,183.05,183.05,173.6,173.6,25,5450
2021-08-25T14:15:00+0530,171,171,171,171,150,5450
2021-08-25T14:20:00+0530,171,171,171,171,0,5475
2021-08-25T14:25:00+0530,171,171,168.65,169,250,5475
2021-08-25T14:30:00+0530,169,169.15,162.4,169.15,175,5375
2021-08-25T14:35:00+0530,169.15,169.15,169.15,169.15,0,5375
2021-08-25T14:40:00+0530,169.15,169.15,165,165,0,5350
2021-08-25T14:45:00+0530,165,170.6,159.05,159.05,1000,5150
2021-08-25T14:50:00+0530,159.05,165.15,159.05,165.15,125,5150
2021-08-25T14:55:00+0530,165.15,166.2,165.05,165.6,275,5125
2021-08-25T15:00:00+0530,165.6,165.6,165.6,165.6,0,5125
2021-08-25T15:05:00+0530,165.6,165.6,165,165,25,5200
2021-08-25T15:10:00+0530,165,165,152.9,152.9,575,5200
2021-08-25T15:15:00+0530,152.9,163.85,152.9,163.85,75,4875
2021-08-25T15:20:00+0530,163.85,163.85,162,162,25,4850
2021-08-25T15:25:00+0530,162,162,157.9,160.5,75,4825
2021-08-26T09:15:00+0530,22.4,135,22.4,135,75,4825
2021-08-26T09:20:00+0530,135,135,129.65,133.8,125,4800
2021-08-26T09:25:00+0530,131.7,131.7,131.7,131.7,25,4800
