Date,Open,High,Low,Close
10/14/2021 9:15,301.85,305.8,300.8,305.8
10/14/2021 9:16,304.15,304.7,287.05,302.6
10/14/2021 9:17,301.9,301.9,283.95,285
10/14/2021 9:18,288.6,295,283.9,290.05
10/14/2021 9:19,290,297.4,289.55,297.4
10/14/2021 9:20,298.85,301,288.5,288.75
10/14/2021 9:21,288.75,290.65,284.05,288.05
10/14/2021 9:22,288.05,289.1,281,287.6
10/14/2021 9:23,287.6,291,285.2,285.2
10/14/2021 9:24,285.2,287.95,282.95,287.95
10/14/2021 9:25,287.05,288.25,282.05,284.6
10/14/2021 9:26,286.55,290.95,283.4,284.8
10/14/2021 9:27,284.8,284.8,271.05,275.55
10/14/2021 9:28,275.65,284.6,274.95,280.7
10/14/2021 9:29,280.7,292.8,276.9,292.8
10/14/2021 9:30,291.65,308.5,291.65,301.55
10/14/2021 9:31,300.4,308.15,300.4,307
10/14/2021 9:32,306.7,308.8,301.05,305.9
10/14/2021 9:33,306.1,315.35,304.75,314.4
10/14/2021 9:34,315.3,316.55,309.45,314.45
10/14/2021 9:35,314.7,321.8,314.1,317.95
10/14/2021 9:36,318.6,323.7,317.6,323.4
10/14/2021 9:37,324,329.95,323,327.2
10/14/2021 9:38,326.75,327.15,315,317.2
10/14/2021 9:39,316.25,324.05,315.6,321.85
10/14/2021 9:40,321.45,322.45,316,316.05
10/14/2021 9:41,316.45,318.8,310.05,310.05
10/14/2021 9:42,310.85,319.55,309.2,318.25
10/14/2021 9:43,317.95,321.95,316.1,321.95
10/14/2021 9:44,320.9,321.5,315,317.55
10/14/2021 9:45,319,323.05,315,315
10/14/2021 9:46,315.8,318.7,312,317.45
10/14/2021 9:47,316.85,319.55,313.25,314.8
10/14/2021 9:48,316.1,318.05,313.85,318.05
10/14/2021 9:49,316.8,322,315.15,320.45
10/14/2021 9:50,320.45,320.45,317.1,319.9
10/14/2021 9:51,318.75,321.5,316,318
10/14/2021 9:52,318,324.95,318,320.25
10/14/2021 9:53,320.1,322.95,316,317.35
10/14/2021 9:54,317.35,321.25,317.35,321
10/14/2021 9:55,321,321.9,317.45,318.35
10/14/2021 9:56,317.1,321,316.5,318.55
10/14/2021 9:57,318.55,320.95,316.75,317
10/14/2021 9:58,317,317,311.25,315.2
10/14/2021 9:59,314.65,325.3,314.65,324.65
10/14/2021 10:00,323.2,323.6,294.1,319.9
10/14/2021 10:01,322.7,324.75,311.65,318.35
10/14/2021 10:02,318.65,318.65,314.05,317.5
10/14/2021 10:03,317.5,322.5,315.95,317.35
10/14/2021 10:04,319.25,320.65,317.4,317.4
10/14/2021 10:05,317.4,319.7,315.9,319
10/14/2021 10:06,319,319.5,316.05,318
10/14/2021 10:07,315.05,316.8,312,312
10/14/2021 10:08,312.9,320,312.35,319.5
10/14/2021 10:09,320,334.5,319.5,330.5
10/14/2021 10:10,330.8,338.2,325.6,326.95
10/14/2021 10:11,326.95,332.85,326,329.95
10/14/2021 10:12,329.35,331.55,328,329.8
10/14/2021 10:13,329.2,329.2,321.5,321.55
10/14/2021 10:14,320.05,320.05,314.6,317
10/14/2021 10:15,317,317.95,311.65,312
10/14/2021 10:16,312.1,313.5,303,313.5
10/14/2021 10:17,313.5,318.4,311.05,315.8
10/14/2021 10:18,315,315.05,310.05,312
10/14/2021 10:19,311.9,312.1,308.05,308.05
10/14/2021 10:20,308.85,313.6,306.8,311.45
10/14/2021 10:21,310,313.05,308.25,312.4
10/14/2021 10:22,312.95,315,311,314
10/14/2021 10:23,313.6,317.3,313.6,315.9
10/14/2021 10:24,315.3,316,312,313.5
10/14/2021 10:25,313.5,314.5,311.7,312.05
10/14/2021 10:26,312.05,312.05,310,311.3
10/14/2021 10:27,311.25,312,306.2,308.35
10/14/2021 10:28,308.35,311.1,307.5,308
10/14/2021 10:29,308,310.9,307,309.8
10/14/2021 10:30,309.55,311.15,307.7,307.75
10/14/2021 10:31,308.55,310,307.5,308.55
10/14/2021 10:32,309,310.9,305.95,306
10/14/2021 10:33,307.05,308,301,308
10/14/2021 10:34,308,308.35,302.35,304.65
10/14/2021 10:35,303.85,303.9,300.5,301.6
10/14/2021 10:36,301.6,301.6,294.3,294.65
10/14/2021 10:37,295,298.4,291.1,296.05
10/14/2021 10:38,296.05,302.6,292.9,301.6
10/14/2021 10:39,301.2,304.65,299.45,302
10/14/2021 10:40,301.1,303.65,300,302.6
10/14/2021 10:41,302.2,303.1,300.8,302.6
10/14/2021 10:42,302.6,303.2,299.35,299.35
10/14/2021 10:43,299.35,301.3,298.15,300.65
10/14/2021 10:44,300.9,301.05,297.75,299.6
10/14/2021 10:45,300,302,298.8,300.95
10/14/2021 10:46,299.6,299.65,295.7,295.9
10/14/2021 10:47,295.25,299,294.25,294.95
10/14/2021 10:48,294,296.85,292,296.65
10/14/2021 10:49,296.65,296.75,292.1,294.5
10/14/2021 10:50,294.3,294.35,290,290.05
