Date,Open,High,Low,Close,5,6
2021-09-08T09:15:00+0530,160,218.95,116.15,199.4,1944150,1265450
2021-09-08T09:20:00+0530,198.55,219.65,173.3,184.4,1667575,1512925
2021-09-08T09:25:00+0530,184.2,214.85,166.1,188.5,1270675,1613175
2021-09-08T09:30:00+0530,188.45,202.7,172.05,201.2,984800,1720375
2021-09-08T09:35:00+0530,200.45,267.55,191.6,243.3,1932400,1744150
2021-09-08T09:40:00+0530,243.6,284.15,241.5,276.65,1529750,1371800
2021-09-08T09:45:00+0530,278.1,280.4,250,268.4,811975,1318925
2021-09-08T09:50:00+0530,265.7,266.75,222.45,224.45,654400,1312900
2021-09-08T09:55:00+0530,223.55,258.5,210,253.15,738375,1299725
2021-09-08T10:00:00+0530,255,273,196.55,220.05,936725,1298725
2021-09-08T10:05:00+0530,221,224.15,202.35,206.25,626925,1308500
2021-09-08T10:10:00+0530,203.9,224,198.55,212.9,606900,1367175
2021-09-08T10:15:00+0530,212.45,227,211.75,214.7,352900,1373525
2021-09-08T10:20:00+0530,214,247.7,212.5,242.6,555250,1385625
2021-09-08T10:25:00+0530,242.05,263.4,231,255.65,528175,1350675
2021-09-08T10:30:00+0530,254.8,255.2,223.85,241.65,605175,1335525
2021-09-08T10:35:00+0530,242.7,264.55,241.8,260.35,458675,1312750
2021-09-08T10:40:00+0530,259.9,320.7,242.8,309.25,1105700,1174725
2021-09-08T10:45:00+0530,310.85,317.35,291.5,292.95,889150,1057475
2021-09-08T10:50:00+0530,293.05,311.7,274.45,311.1,486900,1014450
2021-09-08T10:55:00+0530,308.75,311,281.5,286.5,351700,1014775
2021-09-08T11:00:00+0530,286.8,299,277.15,296,292600,1009525
2021-09-08T11:05:00+0530,295.25,308,284,300.65,337375,992200
2021-09-08T11:10:00+0530,300,325.1,290.1,298.3,522650,964950
2021-09-08T11:15:00+0530,295.05,303.05,234.8,270.5,694175,941850
2021-09-08T11:20:00+0530,272.8,283.3,255.9,266.1,228025,943550
2021-09-08T11:25:00+0530,266.55,277.65,258.4,266.2,173375,941400
2021-09-08T11:30:00+0530,266.05,268.25,253,267,180600,941550
2021-09-08T11:35:00+0530,268,269.05,243.5,258.4,212825,932700
2021-09-08T11:40:00+0530,259.6,268.7,252.05,263.35,221550,941875
2021-09-08T11:45:00+0530,263.5,299.8,259.5,293.85,363925,907025
2021-09-08T11:50:00+0530,293.85,295.85,278.85,287.45,172975,895525
2021-09-08T11:55:00+0530,288.5,291,273.65,279.2,149100,888650
2021-09-08T12:00:00+0530,279.65,317,266.5,313.8,455175,865000
2021-09-08T12:05:00+0530,312.65,325,292.75,302.05,523350,827450
2021-09-08T12:10:00+0530,300.9,312.7,290.15,311.3,192125,823975
2021-09-08T12:15:00+0530,311.75,317.35,276.05,276.05,339975,814000
2021-09-08T12:20:00+0530,271.55,276.25,234.55,243,536500,808750
2021-09-08T12:25:00+0530,243.3,260,234.2,240.25,300075,816325
2021-09-08T12:30:00+0530,239.45,240,202.15,213.15,742950,877475
2021-09-08T12:35:00+0530,211.9,226.75,200.8,211.45,572300,960050
2021-09-08T12:40:00+0530,210.5,235.4,203.5,210.9,531425,967800
2021-09-08T12:45:00+0530,211.75,234,202.15,232.35,398750,966675
2021-09-08T12:50:00+0530,232.1,239.3,214.7,233.65,407925,922375
2021-09-08T12:55:00+0530,230.65,232.45,206.5,206.5,234550,928300
2021-09-08T13:00:00+0530,207.25,218.1,162.65,165.5,926725,971425
2021-09-08T13:05:00+0530,165,175.85,148.35,157.3,1254750,1297875
2021-09-08T13:10:00+0530,160.4,160.4,135,148,1110975,1423525
2021-09-08T13:15:00+0530,148.3,167.55,147,166.45,966225,1499550
2021-09-08T13:20:00+0530,166.6,176.45,160.45,173,731650,1511400
2021-09-08T13:25:00+0530,172.4,174.4,157.85,164.65,522500,1534500
2021-09-08T13:30:00+0530,163.85,180,147.15,174.85,695850,1573425
2021-09-08T13:35:00+0530,173.75,178,161.65,167.35,455575,1541775
2021-09-08T13:40:00+0530,167.15,176.4,153.65,154.9,469800,1542600
2021-09-08T13:45:00+0530,155,164.85,150.3,158.3,581675,1613450
2021-09-08T13:50:00+0530,157.25,167.5,155.55,156.25,355825,1663550
2021-09-08T13:55:00+0530,156.25,171.15,144.75,167.6,605725,1659200
2021-09-08T14:00:00+0530,168.95,179.7,164.2,169.45,615525,1654200
2021-09-08T14:05:00+0530,170.15,198.35,168,191.65,774775,1581375
2021-09-08T14:10:00+0530,191.8,203.6,180.95,200.05,875825,1540600
2021-09-08T14:15:00+0530,199.05,207.4,173.55,175.6,723700,1417075
2021-09-08T14:20:00+0530,175.1,180,163.35,169.25,510425,1426525
2021-09-08T14:25:00+0530,168.75,174.8,158.5,162.15,478425,1440625
2021-09-08T14:30:00+0530,162.65,180.85,160.15,176.6,465125,1423425
2021-09-08T14:35:00+0530,176.25,183.95,164.35,173.45,419200,1403475
2021-09-08T14:40:00+0530,174.1,196.5,165.4,185,580550,1380050
2021-09-08T14:45:00+0530,184.05,198.35,175.65,184.1,620450,1338100
2021-09-08T14:50:00+0530,184.25,192.95,178.65,187.55,407825,1309700
2021-09-08T14:55:00+0530,188.45,217,184.45,208.8,888375,1237900
2021-09-08T15:00:00+0530,209.05,230.45,209.05,219.15,895250,1043500
2021-09-08T15:05:00+0530,219.8,225,202,217.55,534200,950325
2021-09-08T15:10:00+0530,219,237.35,217.05,237.35,437575,897150
2021-09-08T15:15:00+0530,236.75,249.85,233.45,246.15,551000,784150
2021-09-08T15:20:00+0530,246.5,275,246.1,274.45,561325,648225
2021-09-08T15:25:00+0530,274.75,290,272,285,439300,592450
2021-09-09T09:15:00+0530,259.35,299.9,209.5,263.05,773450,588775
2021-09-09T09:20:00+0530,266.2,289.8,240.85,263.05,447000,654675
2021-09-09T09:25:00+0530,260,275,231.6,239.1,384375,715150
2021-09-09T09:30:00+0530,238.3,241.25,170,178.65,814125,729650
2021-09-09T09:35:00+0530,177.5,185.25,150.7,156.75,707525,864400
2021-09-09T09:40:00+0530,155.05,170,146.7,159.25,865100,994075
2021-09-09T09:45:00+0530,156.65,188,151.45,180.75,899000,996975
2021-09-09T09:50:00+0530,180.5,184.2,162.2,165.3,403600,985500
2021-09-09T09:55:00+0530,164.55,167.35,140.55,141.45,560000,1052075
2021-09-09T10:00:00+0530,140.8,166.8,140,155.4,640275,1081700
2021-09-09T10:05:00+0530,155.05,162.85,145.25,148,407225,1126225
2021-09-09T10:10:00+0530,149.7,159.9,123.95,126.45,682325,1175050
2021-09-09T10:15:00+0530,125.15,147,118.75,143.35,1126125,1300450
2021-09-09T10:20:00+0530,143.2,162.9,134.7,159.5,871500,1307325
2021-09-09T10:25:00+0530,158.75,166,144.3,150.65,567025,1295275
2021-09-09T10:30:00+0530,153.8,182.05,146.75,174.1,791175,1303625
2021-09-09T10:35:00+0530,173.95,200.95,171,183,966550,1145150
2021-09-09T10:40:00+0530,182.35,197.85,167.5,190.95,701800,1164975
2021-09-09T10:45:00+0530,190.6,195,166,168.9,480000,1195050
2021-09-09T10:50:00+0530,168.4,177.25,152.3,154.9,459500,1223125
2021-09-09T10:55:00+0530,154.5,174.5,143.55,172.15,525975,1228625
2021-09-09T11:00:00+0530,173,173.6,153,153,264750,1240425
2021-09-09T11:05:00+0530,153,176.55,141.65,171.6,505950,1247075
2021-09-09T11:10:00+0530,170.75,173,159.4,161.6,252375,1266800
2021-09-09T11:15:00+0530,161.6,176.25,154.75,167.95,407000,1284675
2021-09-09T11:20:00+0530,169.15,169.6,156.4,161.8,235975,1293575
2021-09-09T11:25:00+0530,161.65,163.3,139.65,149.75,493025,1288100
2021-09-09T11:30:00+0530,148.7,161,144.25,147.5,347825,1325350
2021-09-09T11:35:00+0530,147.05,181.1,121,168.4,1224125,1308625
2021-09-09T11:40:00+0530,169.15,178.75,162.25,167.5,664500,1295625
2021-09-09T11:45:00+0530,168.05,174,161,168.9,335925,1297450
2021-09-09T11:50:00+0530,169.7,174,154.7,168.6,411725,1281175
2021-09-09T11:55:00+0530,168.4,195,165.95,184.15,801225,1296075
2021-09-09T12:00:00+0530,185.6,191.25,166.2,166.2,458175,1222250
2021-09-09T12:05:00+0530,167.7,169,153.45,157.7,458700,1236275
2021-09-09T12:10:00+0530,158.15,161.5,147.2,151.75,368600,1251400
2021-09-09T12:15:00+0530,151.05,154.75,133.3,139.2,610250,1311200
2021-09-09T12:20:00+0530,139.2,143.75,117.75,136.8,755475,1360975
2021-09-09T12:25:00+0530,136.5,143.75,108.45,111.55,807000,1378175
2021-09-09T12:30:00+0530,112.2,120.55,96.25,108.05,1522475,1494850
2021-09-09T12:35:00+0530,110,112.25,94.95,97.55,1396050,1648075
2021-09-09T12:40:00+0530,97.2,102.3,78.1,85.3,2418100,1818950
2021-09-09T12:45:00+0530,85.25,99.6,84,96,1531450,1991800
2021-09-09T12:50:00+0530,96.65,104.5,94,99.05,1211400,2000825
2021-09-09T12:55:00+0530,98.3,113.55,92.9,93.15,1294550,1982000
2021-09-09T13:00:00+0530,92.7,103.95,88.3,97.2,1044875,1935475
2021-09-09T13:05:00+0530,97.1,98.5,64.3,68.85,2328350,2173325
2021-09-09T13:10:00+0530,69,74.85,59.25,73.15,2080875,2277225
2021-09-09T13:15:00+0530,73.45,83.8,65.5,71.85,1645200,2350025
2021-09-09T13:20:00+0530,71.8,83,68.9,77.1,1267475,2360275
2021-09-09T13:25:00+0530,76.65,97.2,75.9,77.3,1839875,2325300
2021-09-09T13:30:00+0530,77.75,104.2,77.55,84.25,2670250,2134200
2021-09-09T13:35:00+0530,85.05,104.9,83.5,93.35,1984100,2109700
2021-09-09T13:40:00+0530,93.7,108,89.35,96.85,1600975,2080625
2021-09-09T13:45:00+0530,97.25,100.85,69.85,94.1,2369000,2071375
2021-09-09T13:50:00+0530,95.5,98.7,79.15,83.8,1216850,2092275
2021-09-09T13:55:00+0530,84.1,88.95,68.45,73.9,1573625,2101500
2021-09-09T14:00:00+0530,74.35,79.5,64.3,68.6,2216350,2198475
2021-09-09T14:05:00+0530,66.05,69.4,53.4,63.1,2954800,2308100
2021-09-09T14:10:00+0530,60.75,64.55,48.9,64.25,2539200,2392950
2021-09-09T14:15:00+0530,64.55,66.25,49.1,49.1,2444950,2361025
2021-09-09T14:20:00+0530,48.5,68.95,45.95,61.55,2765500,2306550
2021-09-09T14:25:00+0530,60.95,69.95,53.6,65.6,2201400,2306650
2021-09-09T14:30:00+0530,66.95,75.1,43,50,3512475,2421200
2021-09-09T14:35:00+0530,49.2,50.2,24.3,25.2,6763775,2593475
2021-09-09T14:40:00+0530,25.3,31.9,18.05,27.95,6999150,2806350
2021-09-09T14:45:00+0530,26.85,53.8,26.35,46.5,7426025,2380800
