Date,Open,High,Low,Close,5
1631254500,99.33,99.4,99.01,99.37,17334.8
1631255400,99.37,99.39,99.11,99.12,15742.8
1631256300,99.12,99.18,99.05,99.11,29583
1631257200,99.11,99.3,98.9,99,21372
1631258100,98.93,99,98.26,98.44,40027.3
1631259000,98.44,98.5,97.34,97.4,71130.3
1631259900,97.35,98.2,97.08,97.5,54253.6
1631260800,97.5,97.9,97.2,97.89,31512.2
1631261700,97.88,98.51,97.17,98.43,78632.9
1631262600,98.43,98.43,96.21,96.89,60537.4
1631263500,96.7,97.07,96.12,97.07,38662.8
1631264400,97.11,97.39,96.14,96.26,41833
1631265300,96.26,96.66,95.69,96.49,61958.3
1631266200,96.45,97.5,96.36,97.45,42592.6
1631267100,97.49,97.49,96.75,96.75,36118.9
1631268000,96.75,97.4,96.51,97.2,19753.6
1631268900,97.18,97.39,96.9,97,16652.5
1631269800,97,97.79,97,97.5,17324.7
1631270700,97.5,97.89,97.5,97.55,16530.3
1631271600,97.59,97.7,96.51,96.99,18260.3
1631272500,96.99,97.14,96.45,96.51,13907.7
1631273400,96.72,96.82,96.5,96.66,11395.4
1631274300,96.66,96.84,96.32,96.7,13727.7
1631275200,96.7,97.35,96.69,97.05,5020.9
